Name,Collection,ExternalDescription,InternalDescription
Presenting Partner - Playoffs,Presenting Platforms,Inclusion in all Playoff marketing material leading up to and during Storm playoff games,"Storm value is per game (similar to game sponsorship) with 50% reduction for away game. With escalator per round Reference Symetra 3rd amendment - Round 1 - 23k home/11.5k away, Semifinals -25k home, 12.5k away, Finals - 30k home/15k away"
Supporting Partner - Playoffs,Presenting Platforms,Inclusion in all Playoff marketing material leading up to and during Storm playoff games as supporting partner,"Storm value is per game (similar to game sponsorship). (Reference Symetra contract). With escalator per round. 25% reduction from presenting cost Round 1 -$17,250 home/$8,625 away, Semifinals - $18,750 home/$9,375 away, Finals -$22,500 home/$11,250 away"
Promotional Logo Rights,Presenting Platforms,Partner may use the Storm marks & logos for marketing materials. Please provide for approval,Min investment of 50k - use of marks and logos for association but no category designation at this investment level Min 50k spend to get access to marks/logos
All-Star Voting Campaign,Presenting Platforms,Inclusion in the Storm's All-Star Voting campaign marketing,"Presenting All-Star Voting campaign - heavy social with player leverage, voting push for fans over digital, in-arena and broadcast Reference WNBA rules for how partner can show up in content as W owns All-Star"
Entitlement Game Presenting Partner (Indiana),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,"Own the Indiana Game - Build in extra hospitality and on-court promos, game day experiential - provide protection on mutli-year incase Fever game ends up on Opening Night for ex. Inclusion in paid digital ads At this level they are exclusive"
Entitlement Game Supporting Partner (Indiana),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Supporting designation TBD based on presenting being sold
Entitlement Game Supporting Partner (Tent Pole),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Opening Night),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Fan Appreciation),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Storm out Cancer),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Fan Appreciation),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Pride),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Kids Day),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Rivalry Night),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Toy Drive),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Supporting Partner (Theme/Impact Night),,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,
Entitlement Game Presenting Partner (Tent Pole),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,"Sold -Opening Night, Fan Appreciation, Pride, Storm Out Cancer, Kids Day, Rivalry Night (Portland in 2026) and KFE & Toy Drive (under community). Inclusion in paid digital ads At this level they are exclusive"
Entitlement Game Presenting Partner (Opening Night),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Inclusion in paid digital ads At this level they are exclusive
Entitlement Game Presenting Partner (Fan Appreciation),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Inclusion in paid digital ads At this level they are exclusive
Entitlement Game Presenting Partner (Storm out Cancer),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Inclusion in paid digital ads At this level they are exclusive
Entitlement Game Presenting Partner (Fan Appreciation),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Inclusion in paid digital ads At this level they are exclusive
Entitlement Game Presenting Partner (Pride),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Inclusion in paid digital ads At this level they are exclusive
Entitlement Game Presenting Partner (Kids Day),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Inclusion in paid digital ads At this level they are exclusive
Entitlement Game Presenting Partner (Rivalry Night),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Inclusion in paid digital ads At this level they are exclusive
Entitlement Game Presenting Partner (Toy Drive),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Inclusion in paid digital ads At this level they are exclusive
Entitlement Game Presenting Partner ( Theme/Impact Night),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,"AANHPI, Native American, Black Excellence, Inclusion Night, Back to School. Inclusion in paid digital ads At this level they are exclusive"
Entitlement Game Supporting Partner (Tent Pole Tier 1),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,"Supporting designation - Less prominent designation and not included in any external paid ads In the case of Storm Out Cancer, K4E, and Toy Drive Storm require donations"
Entitlement Game Supporting Partner (Impact/Theme Night Tier 2),Presenting Platforms,Present the Entitlement night and receive inclusion in all marketing materials leading up to and on game night,Supporting designation - Less prominent designation and not included in any external paid ads In the case for Unified Storm require donation
Contest Promotion - Extended,Presenting Platforms,Inclusion in contest marketing assets,"Contest that is not a Sweepstakes; can be totally customized with quantities & concept. Longer period - 4+ week could be season long. Add in Broadcast, website (contest and promotion and landing page), email, social, in-arena PA Min $100,000 investment t o have a season long promo/contest"
Contest/Sweepstakes - Standard 7-10 days,Presenting Platforms,Inclusion in promotional contest (sweepstakes) marketing assets,"1-2 week promo period. 2 emails, 2 social posts (launch/reminder post on all platforms), paid social, web presence, landing page, 1 PA/Broadcast read, prizes- seats, auto merch, etc. Min $500 paid promotion + prizes. Off-season contest open too"
Bar League Partner,Presenting Platforms,Inclusion in marketing materials around the Bar League,"Email, social posts, broadcast read, webpage Could + up with hosting a fan event at a bar. If this is a bar/resturant - add in the cost of bar leugue membership"
Summer Reading Program,Community Programs,Present the Storm's Summer Reading Program and be included in marketing materials and other elements like Storm player appearance & complimentary tickets for the program,"Present the program -KCLS + others. Marketing includes - email, social content, website, Storm player apperance, comp tickets on behalf Build with CSI team - TBD donation to non-profit partner - Min of $10,000 - built into investment"
Kicks for Equality/Sneakerball Presenting,Community Programs,Presenting Kicks for Equality & Present Sneakerball; inclusion in all marketing inclusion + 2 tables of 8 and all the K4E marketing - Donation goes to Storm Foundation for give back campaign,"Presenting K4E + Present Sneakerball - all marketing inclusion + 2 tables of 8 and all the K4E marketing - Donation goes to Storm Foundation for give back campaign Partner must commit $25,000 donation to Storm Foundation for the Give Back Fund in addition to Storm investment. All in 85k with donation"
Kicks for Equality Supporting,Community Programs,Supporting Kicks for Equality; inclusion in the marketing assets,"Co-supporting the campaign, auction, player shoe content, check presentation Wasserman valuation of supporting was $40k in 2025. Partner must commit $25,000 donation to Storm Foundation for- Give Back Fund in addition to Storm investment. All in $65,000"
Stats for Change,Community Programs,Present a Storm stat through the Stats for Change platform,"Storm team stats = donation. Website content and promo page + landing page, game day email, PA read, Broadcast, social coverage, check presentation. Activate home and away. Assists, Rebounds, 3Pts, Free-Throws. Blocks & Steals Wasserman -25 was $55k. Including donation to the foundation for the Give Back Fund. All in $70,000. Partner must commit $15,000 donation"
Toy Drive - Seattle Children's - Presenting,Community Programs,"Present the Toy Drive benefiting Seattle Children's; inclusion in all marketing during the game, fundraising and toy drop off. Includes a donation of $10,000 to Seattle Children's by Partner","Present game + campaign - promoted on digital, arena, and TV - toy drive + fundraiser + toy drop. Donation min of $10,000 back to Children's. All in $60k with 10k donation"
Storm Academy Presenting,Community Programs,Present the StormAcademy program and receive two (2) dedicated sessions,"25-30 high school female athletes, educational focus, player appearance, video recap, tickets for all to BIW night with on-court moment - 2 dedicated sessions. $15,000 per dedicated session and the rest is inclusion in all marketing Includes $5,000 donation to Storm Foundation Give Back Fund"
Storm Academy - Supporting,Community Programs,Support the StormAcademy program and receive one (1) dedicated session,"25-30 high school female athletes, educational focus, player appearance, video recap, tickets for all to BIW night with on-court moment - 1 dedicated sessions Includes $2,500 donation to Storm Foundation Give Back Fund"
Line Em Up - Bball courts,Community Programs,"Official Partner of Line 'Em Up; marketing includes press release, co-branded marketing in all comms, event activation on site, and clinic. Campaign to paint the WNBA 3Pt lines on outdoor courts","Official Partner of Line 'Em Up. Press Release, Co-branded marketing in all comms, event activation on site, clinic. Run through the foundation - painting WNBA 3Pt lines on outdoor courts. 6 total courts. 2 courts per year. This $75,000 includes $25,000 of hard costs for the court. So it's priced at $50k per court."
Toy Drive - Seattle Children's - Supporting,Community Programs,"Support the Toy Drive benefiting Seattle Children's; inclusion in all marketing during the game, fundraising and toy drop off. Includes a donation of $5,000 to Seattle Children's by Partner","2-4 week campaign - promoted on digital, arena and TV - Supporting of theme game toy drive + fundraiser. Partner to make added donation of 5k Donation min of $5,000 back to Children's. All in $35k with 5k donation."
Jr. Storm Hoops Academy Presenting,Community Programs,"Integration into all marketing of the program including game-day, email, social, digital signage at the Center during events. Opportunity to give out swag, etc. + a dedicated Jr. Storm clinic for stakeholders","Integration into all marketing of the program including game-day, email, social, digital signage at the Center during events. Opp to give out swag, etc. + a dedicated Jr. Storm clinic for stakeholders"
Jr. Storm Hoops Academy - Supporting Partner,Community Programs,"Integration into all marketing of the program including game-day, email, social, digital signage at the Center during events. Opportunity to give out swag, etc","Integration into all marketing of the program including game-day, email, social, digital signage at the Center during events. Opp to give out swag, etc"
Jr. Storm community Hoops Clinics,Community Programs,"Clinic for up to 50 kids, 1 hr clinic. Inclusion in social event recap. Youth receive basketballs, t-shirts & tickets","Up to 50 kids, 1 hour clinic. 50 tickets valued at $50 per seat + social event recap with tag. Includes basketballs and T-shirts for kids $15k gets partners exclusive clinic"
Special Olympics Clinics,Community Programs,5 clinics + 1 coaches session,"4 clinics + 1 coaches sessions - room for 4 supporting partners $5,000 per event must do all 5. Donation back to Special Olympics All in $30k with donation"
Jr. Storm Coaches Clinic,Community Programs,"Community Coaches Clinic, Youth Coaches, 3-4-hours of curriculum, Q&A and Storm coach involvement","Community Coaches Clinic, Youth Coaches, 3-4-hours of curriculum, Q&A, Storm coach involvement. Max of 40 coaches $15k gets partners exclusive clinic"
Jr. Storm Hoops Academy - Private,Community Programs,"50 people/youth; participants receive tickets, t-shirts & basketballs","50 people/youth - buy out for private clinic with Ashley and team for staff, clients. 60-90 min. Comes with 50 tickets to a future game, T-shirts and Basketballs $15k gets partners exclusive clinic"
Small Business Campaign,Community Programs,"Tie in with Heritage months, honoring small businesses that align, honor them at the games during the season","Tie in with Heritage months, honoring small businesses that align, honor them at the games during the season - see CSI to build this out Build this out with CSI team"
STH Party - Present,Community Programs,Present the annual season ticket holder party with players and all members invited. Inclusion in the pre-promotion & on-site opportunity,Annual season party with players and all members invited. Pre-promotion + On site
VIP Member Party - Present,Community Programs,Present the annual VIP season party with players and all members invited. Inclusion in the pre-promotion & on-site opportunity,Typically 200+ People - Courtside Ticket Holders
Corporate Partner Summit/Mini-Camp,Community Programs,"Inclusion/mention on all marketing, opportunity to speak at event + 4 invitations","Inclusion/mention on all marketing, opportunity to speak at event + 4 invitations"
Player Appearances,Community Programs,(1) hr appearance,Starting 5 or head coach (1 hour) Min 100k partner spend
Player Appearances B List,Community Programs,(1) hr appearance,"Bench Players, Asst. Min $50,000 spend"
Executive Appearances,Community Programs,(1) hr appearance,GM/President/Owners (1 hour)
Mascot Appearances,Community Programs,(1) hr appearance,"1 hour appearance. Doppler is paid for min of 3 hour Pay Dopps $75 per hour, $225 is the min"
Plaza Display (Outside) - Fan Fest,Game Day Promotions,Tabling opportunity at Fan Fest on the outdoor plaza,"6 per game - Reference Fan Fest Dates This would be to be included in one of the fan fest dates - inclusion in game-day email, prime location and other pre-event marketing TBD"
Plaza Display (Outside),Game Day Promotions,Tabling opportunity on the outdoor plaza,Table/Display outside of CPA based at either East or West doors
Concourse Display (Inside),Game Day Promotions,Tabling opportunity on the concourse inside,6 per game
Present a Half-Time,Game Day Promotions,"Inclusion in the PA, videoboard, on-court entertainment","PA, Video board, on-court entertainment"
On Court Promotion :90,Game Day Promotions,Mutually agreed upon promotion or contest; inclusion in PA & LED branding,"Shooting contest, etc. min. 75k investment. High value then in-arena promo"
Timeouts in Arena Promo :60,Game Day Promotions,Mutually agreed upon promotion; inclusion in PA & LED branding,"e.g. Lucky Row Promotion, Fan Cam, etc. (No on court activation) min. Promo is closer to :60. 75K investment"
T-shirt Toss,Game Day Promotions,During the 4th quarter; inclusion in PA & LED branding,Every game - 4th quarter hype moment on-court/in-arena - Logo on T
Pre-game T-toss,Game Day Promotions,During the pre-game hype moment,Happens when 1:30 on pre-game clock before intros
Pre-Game Presentation,Game Day Promotions,Inclusion in PA & LED branding; receive reps on the court opportunity,Audio accompanied w/PA + LED's with reps on the court - holding a few back for Storm use
Pre-Game Feature,,"Pre-game moment with PA read, LEDs and special moment","Pre-game moment with PA read, LEDs and special moment. Ex: Honorary Captains, Honorary Coach moments, Starting Line-ups"
Pre-Game Video Block,Game Day Promotions,:30 Commercial on videoboard with videoboard & LED graphics,:30 Commercial on videoboard - 6 videos per game
PA Read - Pre-Game,Game Day Promotions,:15-30 PA read with videoboard & LED graphics,:15-30 Read with Videoboard Graphic
Halftime Video Block,Game Day Promotions,:15-:30 Commercial on videoboard with videoboard & LED graphics,:30 Commercial on Storm Vision - must be :30 or less. 2 min block. 3 per game
PA Read - Halftime,Game Day Promotions,:15-30 PA read with videoboard & LED graphics,:15-30 Read with Videoboard Graphic. 3 per game.
Halftime/First half highlights,Game Day Promotions,Inclusion in PA & LED branding,Video highlights of first half
Videoboard Feature - plug existing Storm show,Game Day Promotions,Inclusion in PA & LED branding,"Tag + logo inclusion in existing element of game presentation (re: coaches challenge, Celebration Scroll, - season long. PA read, LED's, Videoboard"
Score Update,Game Day Promotions,"Logo inclusion on videoboard, PA read with partner name; once a quarter","Logo inclusion on videoboard, PA read with partner name - one per quarter, very short read"
Replay Swipe - see presenting platforms,Game Day Promotions,Logo + inclusion in replay swipe during 1 quarter,Logo + inclusion in replay swipe. 1-4 per quarter. (Combo with broadcast as well)
PA Read - Post-Game,Game Day Promotions,:10-:15 PA read with videoboard & LED graphics,:10-:15 Read with Videoboard Graphic
PA Read - In Game,,For situtaional promo / trigger promotion,Used for situational promotions like triggers
Exit Samples,Game Day Promotions,"Minimum of 5,000 items for egress","1 item per game. Min 5,000 and partner pays for item Sponsor to cover"
Fan Giveaways,Game Day Promotions,"Minimum of 5,000 items with pre-promotoin","TBD on promo item. Min of 5,000. Typically tied to game sponsorship. Pre-promotion to include; min 1x of each - email, social, paid digital, website, broadcast Sponsor to cover"
Court Naming Rights,Signage,Logo on the Storm Court at CPA; (2) locations,"Logo on both sides of Center Court at CPA - TV visible during locally televised home games Wasserman - 25 - $1,160,000. Min spend $1,000,000"
Baseline Court Apron A,Signage,Logo on half of each baseline during home games; one is closest to Storm team bench. The other logo is kitty-corner (furthest from the Visiting team bench),"Logo on half of each baseline; one is closest to Storm team bench. The other logo is kitty-corner (furthest from the Visiting team bench) - TV visible during locally televised home games Wasserman - 25 - $1,340,000 (with 2 TV visable spots) - Split location with New Baseline Apron cuts value. Min spend $500k. Math is 25 value divided by 2, then divided by 2 again to give 1 location value then divded that by 14 and you get $23,928. Multiple that by 12 to get the Apron value on the TV visable side, then add 1/2 of new basline location value"
Baseline Court Apron B,Signage,Logo on half of each baseline during home games; one is closest to Visiting team bench. The other logo is kitty-corner (furthest from the Storm team bench,Logo on half of each baseline; one is closest to Visiting team bench. The other logo is kitty-corner (furthest from the Storm team bench - TV visible during locally televised home games Wasserman -22 was 195.5k. With assumed growth 2025 would be at least 250k.
Free Thow Line,Signage,Logo on the free-throw line; (2) locations,"Logo on the free-throw line - TV visible during locally televised home games Est $1,200,000 based on Wasserman 25 value of Court Naming Rights and Apron. Min Spend $1,000,000"
Team Bench Court Apron,Signage,Logo on sideline near team benches; (2) locations,"Logo on sideline near team benches - TV visible during locally televised home games Wasserman - 25. $1,400,000. Min spend $500k"
Combo - Courtside LED + Arena LED + Voms,Signage,"Courtside, stanchion, arena ribbon & Vom LEDs for a MOE during in-game play","Two (2) :60 increments. One (1) per half. Moment of exclusivity on LED's - sold season long, units in total minutes for one game. Hold min of 4 min for marketing Wasserman -25 - $236k. Rate is average of 4 partners with 2:1"
Basket Stanchion - Arm Pads,Signage,"Logo on all 6 sides of arm pad sign - left/right/bottom, total of (6) logos","2 Hoops - Padding right behind the backboard - logo on all 6 sides of sign - left/right/bottom - TV visible during locally televised home games Wasserman - 25 - $1,030,000"
Basket Stanchion - Front Top,Signage,(2) logos on the top of the basket padding near the court; (1) on each hoop,"2 - Hoops - Located on the top of the basket padding near the court - TV visible during locally televised home games Assumed $200,000 value"
Basket Stanchion - Front Middle Top,Signage,(2) logos on the upper middle basket padding near the court; (1) on each hoop,"2 - Hoops - Located on the upper middle basket padding near the court - TV visible during locally televised home games Wasserman - 24 - $286,000 (high end)"
Basket Stanchion - Front Middle lower Pad,Signage,(2) logos on the middle basket padding near the court; (1) on each hoop,"2 - Hoops - Located on the middle basket padding near the court - TV visible during locally televised home games Wasserman - 24 - $286,000 (high end)"
Basket Stanchion - Front Lower Pad,Signage,(2) logos on the lower basket padding near the court; (1) on each hoop,"2- Hoops - Located on the lower basket padding near the court - TV visible during locally televised home games Wasserman - 24 - $286,000 (high end)"
Basket Stanchion - Side Pad Middle,Signage,(4) logos on the sides of the lower stanchion pads; (2) on each hoop,"Located on the sides of the lower stanchion pads - has to be all same partner - TV visible during locally televised home games Wasserman - 24 - $286,000 (high end)"
Basket Stanchion - Side Pad Bottom,Signage,(4) logos on the bottom pad around the backboard; (2) on each hoop,"Located on the bottom pad around the backboard - strictly TV visible with organic media/social amplification. Has to be all the same partner - TV visible during locally televised home games Wasserman - 24 - $200,000 (high end)"
Backboard Pad - Top of Hoop,Signage,Logo inclusion on both hoops,Top pad of backboard - TV visible during locally televised home games Need 3rd party valuation
Backboard Pad - Bottom of Hoop,Signage,Logo inclusion on both hoops,Bottom pad of backboard - TV visible during locally televised home games Need 3rd party valuation
Courtside Chairbacks- Team Benches + Front row,Signage,Inclusion on the chairback slip covers on the seats,"Temporary covers with company logo on front ( - + back). This is packaged with presenting the Courtside VP experience under presenting platforms. - TV visible during locally televised home games Wasserman - 25 - $500,000"
Courtside LED,Signage,Courtside & stanchion LED during in-game play,Two (2) :60 increments. One (1) per half - units in total minutes for one game - TV visible during locally televised home games Wasserman - 25 (average of 4 partners was $188k)
Kick Plates,Signage,Inclusion on the kick plates located at the bottom of chair on each team bench,Located at the bottom of chair on each team bench - TV visible during locally televised home games Need 3rd party valuation
TV Media Backdrop (Live TV only),Signage,Cobranded backdrop,Part of Presenting Partner of broadcast 24 Wasserman Valuation (all road games) was $40k
Press Back Drop - CBP,Signage,Cobranded backdropin the Storm Center press room & on the one for post practice media player interviews,"Press room and post practice for media player interviews Wasserman -25- $7,000 (BECU)"
Press Conference Back Drop - CPA,Signage,Cobranded backdrop,"Post-game press conference, Stormbasketball.com, YouTube - Post-game press conference presented by Wasserman -25 - $40,000 (Prov/Swedish). This is up during all regular season home and away games. Min investment to have this asset is $250k"
Arena LED Signage + Voms,Signage,Arena ribbon & Vom LEDs during in-game play,Two (2) :60 increments. One (1) per half - All three (3) ribbons + All Voms - units in total minutes for one game 25 Wasserman Valuation (average of 4 partners was 50k)
Banner Ad,Digital - Website,Rotates with other partners on all pages on StormBasketball.com,"Rotates with other partners on all pages (Desktop and Mobile) - Price based on impressions for season (min average in 2023 was 200,000) Wasserman -25"
Home Page Content Sponsor,Digital - Website,Inclusion on a Storm home page on StormBasketball.com,"Photo Galleries, Video Galleries, News, Membership, etc. Can also include the app when relevant 24 - Wasserman Valuation"
Website: Subpage inclusion,Digital - Website,Inclusion on a Storm landing page on StormBasketball.com,"Contest & Promo page, Roster page, schedule page, etc."
Partner Landing Page,Digital - Website,Inclusion on a landing page on StormBasketball.com,"Supporting campaign, fundraiser, community event, content page, etc."
Top Story Web inclusion,Digital - Website,Supports an announcement,Supports an announcement (theme game/event)
Video Pre-roll on the website,Digital - Website,:05-:10 sec video that runs before Storm video content on StormBasketball.com,:05-:10 sec video that runs before Storm video content; rotates with other partners
Email to full database,Digital - Email,,"Email sent to entire base - promo/offer (100,000+)"
Game Day Emails,Digital - Email,"Inclusion in email with short description, logo & link","Inclusion in email with short description, logo & link (6,000) 50%+ open rate - no current limit on what we can include b/c the template doesn't have a limit. Trying to limit to 4 partners per game Wasserman - 25 - has these under $100 per"
Post game email,Digital - Email,Email offer to game attendees,Email offer to game attendees
Email Season Ticket Holder List,Digital - Email,Email to STH,"Storm Members only (5,000) 75%+ open rate. Get sign off on the offer before pitching"
Text Message,Digital - Text,To promote campaign,"6,000+ people - News/Highlights/Ticket pushes/Watch Parties/Sweepstake - Check with marketing on other distro"
Digital Roster Card Inclusion,Digital -Website,Digital logo inclusion on roster card on website,"Digital logo inclusion on roster card on website, included in game day app push notification as well. 2025 total impressions was 12,000"
Title Sponsor of App,Digital - App,"Logo on log-in/home screen, banner ad, bounce back offer & reward store integration","Impressions in - 2025 860k (May-Sept). 16.3k total users. Ave use time. 15 min. Logo on log-in/home screen, banner ad, bounce back offer, reward store integration. Promoted through - TV, In-game, website, digital, etc. - $20,000 which is slightly over $20 New app launched just before 2025 season"
Banner Ad,Digital - App,Rotating banner ad on the app,Rotating when logged in to app - Total impressions 860k/4 = per banner. Assumption of 4 partners only
App Campaign Integration,Digital - App,Dedicated micro-site on the app,"Dedicated micro-site on the app - Holiday, Sched release, All-Star, End of Season, KFE, Custom content work with marketing add on to campaign"
Content integration within app,Digital - App,Ownership of a section on the app,Ownership of news or other integration (tie in with website) Shows up on Website as Home Page Content Sponsor
Push Notifications,Digital - App,Included in push notifications on the app for a campaign,"Included in Game Alerts (Theme Partner), Special Offers (Sweeps/contest), For custom content work with marketing - noting 2025 was a 9% open rate - Average push was 14,000 people"
Facebook Post,Digital - Social Media,,"Rate is $15-$20 CPM - Integrate including player/game day content ($15), Co-created/custom content ($20). Avg. IPP - 29,109"
Twitter Post,Digital - Social Media,,"Rate is $15-$20 CPM - Integrate including player/game day content ($15), Co-created/custom content ($20). Avg. IPP - 20,503 Integrate = reoccurring content, game day and game related player content that is pre-planned/on-going"
Instagram Feed/Reels/Story,Digital - Social Media,,"Rate is $15-$20 CPM - Integrate including player/game day content ($15) • Feed (not including reels): 83,952 • Reel: 33,679 • Story: 8225 - average of the 3 is 50,884 Co-create = New content that is developed for partner"
